Cluster ‐ 1,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
922,Fateh Puri,Najaf Garh,1    Fateh  Puri  2   Isbt/Mori  Gate  3    Ice  Factory  4    Gurugovind  Sing  Marg  54   Sarai  Rohilla  6   Zakhira  7    P   B Terminal  8    Madi  Pur  Jj  Cly   9    Peera  Garhi  10    Jawala  Puri  11    Nangloi  Jj  Cly   12    Kamru  Din  Nagar  Xing  13 Mundka 14   Hirankunda Xing 15   Hirankudna Village 16   Neelwal Xing 17   Dichiown Kalan Village 18   Najaf Garh,0,23.4,15,12,7,5
997,Pragati Maidan,Budh Vihar,"Pragati  Maidan,  Mandi  House,  S  Kriplani  Hosp,  PK  Rd,  Pusa  Rd  P  Pump,  Tele  Exchange,  WP  Ngr,
Karampura (T), PB (T), Wazirpur Depot, JD Block Pitampura, Rohini Sec-7 / 8 Xing, Rohini Depot-1, Rohini Sec-3, 4, 5, 6 Xing, Budh Vihar",0,26.4,15,14,8,6
125ext,Saroop Nagar,"Anand Vihar
ISBT","Saroop Ngr, Libaspur, GTK (D), Adarsh Ngr, Bara Bagh, RP Bagh, Clock Tower, Ice Factory, Mori Gate, Shyamgiri
Mandir, Seelampur, Shahdara, Dilshad Garden, Surya Ngr, Anand Vihar ISBT",0,30.2,15,16,10,6
85ext,Anand Vihar ISBT,West Enclv,"Anand Vihar ISBT, HP Depot, Shakarpur, Rainy Well,  ITO AGCR, D Gate, Vivekanand Marg, Shivaji Std, Mandir Marg, Sadhu W Marg, Tele Exchange, WP Ngr, PB (T), Mahindra Park, Keshav Maha Vidhyalya, West Enclav",0,35,15,19,11,8
932,Mangolpuri Q-Blk,Nand Nagri (T),1   Nand Nagri (T)  2   Mandoli Xing  3   C‐4 Jamuna Vihar4   Bhajan Pura   5   Nanaksar  6   Jagat Pur  7   Burari Xing8 Mukand Pur  9   Gtk By Pass  10  Haidar Pur W   Works11   Uttri Pitam Pura  12   Madhuvan Chowk13   Rohini Sec‐6 (Rhn‐I)  14   Rohini Sec‐3 (Avntika)15   Mangol Puri Y Blk    16   Mangol Puri Q Blk,0,24.5,15,13,8,5
208,Dilshad Garden,Karam Pura T,1. Dilshad Garden 2. Seema Puri 3. Dilshad Grd Gt Rd.4. Shahdara 5. Seelam Pur 6. Shyam Giri Mandir 7. Isbt 8. Ice Factory 9. Ggs Mrg. 10.Sadhu Waswani Marg P.Pump.11.Tele Exchage 12. West Patel Ngr. 13. Karampura T.,0,22.5,15,12,7,5
731,Bijwasan Bdr.,KaramPura Trml.,"1. Karam Pur (T) 2. Raja Garden 3. Mukherji Park 4. Tilak Ngr. 5. Distt. Centre 6. Uttam Ngr. 7. C‐I J.Puri 8. Dabri
Village 9. Palam Village 10. Amrohi Xing.11. Bagrola Xing 12. Pouchan Pur 13. Dhool Siras 14. Bharthal 15. Bijwasan Rly. Stn. 16. Bijwasan Bdr.",0,25.4,15,14,8,6
854,Shivaji Stadium,"C-1,Janak Puri","1. Shivaji Std. 2. Mandir Marg. 3. Sadhu Waswani Mrg/A.S.Rd.4. Tele Exchange  5. W. Patel Ngr 6. Moti Ngr 7.Raja
Garden 8. Mukherji Park 9. Tilak Ngr 10. B‐1 Janak Puri /C‐2b J. Puri 11. C‐1 Janak Puri",11,18.3,10,15,9,6
995,Kend(T),Nilothi Village,"1. Kend.(T) 2. Dr.R.M.L.Hosp. 3. Mandir Mg. 4. Sadhu Vaswani Mg. 5. Tele.Exchange 6. W.Patel Ngr.7. Moti Ngr. 8.
Raja Gdn. 9. Mukherji Park10. Tilak Ngr. 11. Distt. Center 12. Maj.B.S.Nagar13. Meera Bagh 14. Syed Nangloi 15. Chander Vihar16. Nilothi Village",0,26.8,15,14,9,5
871,Shivaji Stadium,H-3 Vikas Puri,1   Shivaji Std   2   Mandir Marg 3   Sadhu Waswani Marg  Pp/ Araya Samaj Rd 4   Tele Exchange 5   W   Patel Ngr 6 Moti Ngr 7   Raja Garden 8   Mukherji Ngr 9   Tilak Ngr 10  Distt Centre 1   C‐Blk Vikas Puri 12   H‐3 Vikas Puri,13,21,10,17,10,7
868,Kendriya Terml,Kakrola Village,"1   Kend   Trml    2   Uppar Ridge Rd    3   Shankar Rd 4   West Patel Ngr    5   Moti Ngr    6  Raja Garden 7   Mukarji
Ngr     8    Tilak  Ngr     9    Distt    Centre   10    Uttam  Ngr  (T)   11    Nawada   12    Kakroula  Xing  13    Kakroula  Jj  Cly    / Kakroula Vill",0,22.8,15,12,7,5
115,Old Delhi Rly.Stn.,Wazirpur JJ Coly,"1. Rly. Station 2. Mori Gate/Isbt 3. Ice Factory 4. Clock Tower 5. Bharat Ngr Xing.6. Wazir Pur Jj Cly.7. Ashok Vihar‐
Ph.I 8.Ashok Vihar Ph‐II",6,12.2,15,7,4,3
310,Inder Puri,Jheel,"1. Inder Puri 2. Loha Mandi 3. W.P.Ngr 4. Shanker Road 5. Ridge Road 6. Kend. Terml. 7. Krishi Bhawan 8. Mandi
House 9. I.To. Agcr 10. Rainy Well  11. Kishan Kunj 12. Jheel.",2,15.9,15,8,5,3
372,Krishna Nagar,Shivaji Stadium,1. Shivaji Stadium 2. Vivekanand Marg 3. Delhi Gate 4. Ito Agcr. Rainy Well 6. Shakar Pur 7. Jheel 8. Krishna Ngr.,0,14.6,15,8,5,3
157,Palika Kendra,Ashok Vihar Phase-II,"1. Palika Kend. 2. Shivaji Std. 3. Chittera Gupta Rd 4. D.B. Gupta Mkt 5. Sarai Rohilla 6. Gulabi Bagh 7. Bharat Ngr
Xing 8. Wazirpur Jj Cly 9. Ahok Vihar Mkt Ph‐1 10. Ashok Vihar Ph.‐Ii",0,16.8,15,9,5,4
23,Jama Masjid,H.R.Hospital,1. Jama Masjid 2. Delhi Gate 3. Ajmeri Gate 4. Sadar P.S. 5. Ice Factory 6. Hindu Rao Hospital.,0,8.6,15,5,3,2
231,Q.Block Mangol Puri,Rly.Station,"1. Rly Station 2. Isbt/Mori Gate 3. Ice Factory 4. Gg Singh Marg 5. Sarai Rohilla 6. Zakhira 7. P.B.Terminal 8. Madi
Pur Jj Cly 9. Peera Garhi 10. D‐Blk Mangol Puri 11. Q‐Blk Mangol Puri.",10,21.3,12,14,9,6
,,,Total Buses,217,,,627,370,257
Cluster ‐ 8,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
308,Ambedkar- Stadium,Uttam Nagar,"1. Ambedkar Stadium 2. Ajmeri Gate 3. Ps Pahar Ganj 4. D.B.Gupta Mkt 5. Radha Swami Satsang 6. W.Patel Ngr 7.
Moti Ngr 8. Raja Garden 9. Mukherji Park 10.  Tilak Nagar 11. Distt Centre 12. Uttam Ngr.",8,19.6,12,13,8,5
711,"C-1,Janakpuri",Sarai Kale Khan,"1. C‐1 Janakpuri  2.  C‐2 B Janakpuri  3. Desu Cly. 4. Lajwanti Garden  5. Kibri Place   6. Shastri Bazar 7.R.R.Line   8. Dhaula Kuan  9. Moti Bagh   10. R.K.Puram  11. Mohd.Pur  12. Aiims  13. Andrews Ganj   14. L.P. Nagar5. Ashram
16. Sarai Kale Khan",15,28.2,5,45,27,18
712,Karol Bagh,Kapashera Bdr.,"1.  Karol  Bagh    2.  Ravinder  Rang  Shala   3.  R‐Blk.  Rajender  Ngr.   4.  Budha  Jayanti  Park5.  Dh.Kuan   6.  Rr.Line 7.Shastri  Bazar   8.More  Line9.  Palam  Air  Port   10.  N.H.W  Xing   11.  Mahipalpur  12.  Rang  Puri  13.  Sambalka   14
Kapashera  Xing15. Kapashera  Bdr.",0,26.5,15,14,8,6
724,Uttam Nagar(T),N.PlaceTerml),"1. Uttam Ngr 2. Janak Puri 3. Desu Cly 4. Lajwanti Garden 5. Kirbi Place 6. Signal Officer Flats 7. R.R.Lines 8. Dh. Kuan9.,Moti Bagh‐I 10 Nauroji Ngr 11. Aiims 12.Andrews Ganj 13. Sant Ngr 14. N. Place Terminal",38,29,5,46,28,18
726,Janak Puri D- Blk.,Morigate,"1. Mori Gate 2.Red Fort 3. Delhi Gate4. Ajmeri Gate 5. P.S Pahar Ganj 6. D.B. Gupta Mkt.7. Radha Swami Satsang Bhawan 8. West Patel Ngr9. Moti Ngr 10. Raja Garden 11. Mukarji Park12. Tilak Ngr. 13 C‐2b Janak Puri 14. Desu
Cly.15. Janak Puri D Block",8,24.8,12,17,10,7
729,Mori Gate (T),Kapashera Bdr,"1. Mori Gate 2. Red Fort 3. Delhi Gate 4. Viveka Nand Marg5, Regal 6. Kend T. 7. Talkatora Garden 8. Sadhu Samaj
9.  Dh.  Kuan  10.  Air  Force  Hq.  11.  Aps  Cly  12.  N.H.  Xing  13.  Mahipal  Pur  Xing  14.  Rang  Puri  15.  Sambalka  16. Kapashera Xing 17. Kapashera Border",46,32,5,51,31,20
746,Mangla Puri,Nangloi,1.Mangla  Puri  2.  Dwark  Sect‐2/6  Xing  3.  Madhu  Vihar  4.  Netaji  Subhash  Inst.5. Nawada 6.  Uttam Nagar  7. Distt Centre 8. Mjr. Bhupender Singh Ngr. 9. Sunder Vihar 10. Peera Garhi 11. Jawala Puri 12. Nangloi,0,18.5,15,10,6,4
807,Najaf Garh,Jama Maszid,"1. Jama Masjid  2. Delhi Gate  3. Ajmeri Gate4. P.S Pahar Ganj 5. D.B.Gupta Mkt.  6. R.S. Satsang7.  West Patel Ngr.
8.  Moti  Ngr.   9.  Raja  Garden10.  Mukarji  Park   11.  Tilak  Ngr.   12.  Distt.  Center13.  Uttam  Ngr.   14.  Nawada   15. Kakroula Bridge16.Nangli Sakrawati  17. Najaf Garh",2,30.3,15,16,10,6
808,Tilak Nagar,Q-Block Mangol Puri,"1. Tilak Ngr. 2. Hari Ngr Depot 3. Zunk Mkt.4 .M.P.Depot  5. Raja Gdn. 6. P,Bagh Club7. P.Bagh 8. Madi Pur Jj Cly. 9.
Peera Garhi10. B‐Blk Mangol Puri 11. Q‐Blk Mangol Puri",16,15.2,10,12,7,5
810,Kend.Terminal,Uttam Ngr(T),"1. Kend Trml. 2. Upper Ridge Rd. 3. Shanker Rd.4. West Patel Ngr. 5. Moti Ngr. 6. Raja Garden7. Mukerji Park. 8.
Tilak Ngr. 9. Idstt. Center10. Uttam Ngr Terminal",11,16.9,10,14,8,6
814,Uttam Ngr (T),Jal Vihar (T),1. Uttam Ngr  2. C‐1 Janak Puri  3. Desu Cly.4. Lajwanti Garden  5. Kriby Place  6. Signal Officer Flats  7. Rr Line  8. Dh Kuan9. Moti Bagh 10. Naroji Ngr 11. Aiims 12. Andrews Ganj13. Lajpat Ngr. 14. Jal Vihar (T),0,22,15,12,7,5
816,Malka Ganj,Uttam Nagar(T),"1. Malka Ganj. 2. Shakti Ngr. 3. Gulabi Bagh.4. E‐Blk.Shastri Ngr. 5. Zakhira 6. Moti Ngr.7. Raja Gdn. 8. Mukerji Park
9. Tilak Ngr 10. Distt. Center 11. Uttam Nagar Terminal",18,18.4,10,15,9,6
817,Inderlok Metro Station,Najafgarh,"1.Inderlok  Metro  Station.2   Zakhira  3.  Moti  Ngr.4.  Raja  Garden.  5.  Mukherji  Park  6.  Tilak  Ngr.7.  Distt.  Centre  8.
Uttam Ngr. 9. Nawada10. Kakrola Bridge 11. Nangli Sakrawati 12 Najafgarh",45,15,5,24,14,10
831,C-1 Janakpuri,Shahdra (T),1.  C-1  Janakpuri  2.  Uttam  Ngr  3.  Distt  Centre  4.  Maj.  B  Singh  Ngr  5.  Sunder  Vihar  6.  Peeragarhi  7.  Mangolpur School 8. C Block Sarswati Vihar 9. Uttri P pura 10. Haiderpur W Works 11. GTK Depot 12. Adarsh Ngr 13. Model Town-2 14. GTB Ngr 15. Old Sectt16.  ISBT 17.  Shyamgiri Mandir 18.  Seelampur 19. Shahdra (T),0,36,15,19,12,7
832,"Janakpuri D
Block","Inderlok Metro
Stn","Janakpuri D Block, DESU Cly, C-2 B Janakpuri, Tilak Ngr, Mukherji Park, Raja Garden, Moti Ng, Zakhira, Inderlok
Metro Stn",0,14.6,15,8,5,3
839,ISBT,Vikas Nagar S- block,1. Isbt 2. Ice Factory3. Kishan Ganj Mkt.  4.Daya Basti    5. Zakhira6. Moti Ngr   7. Raja Garden   8. Mukarji  Park 9. Tilak Ngr.  10. Distt. Centre  11.  D‐ Block Vikas Puri 12. Jant Flat Road No‐237 13. Vikas Nagar S‐Block,1,21.4,15,11,7,4
846,Tilak Nagar,Sultan Puri,"1. Tilak Ngr 2. Hn Depot 3. Zunk Mkt 4. Mpd 5. Raja Garden6. P.Bagh Club 7. P. Bagh 8. Madi Pur Jj Cly 9. Peera
Garhi Chowk 10. B‐Block Mangol Puri 11. Q‐Block Mangol Puri 12. Sultan Puri",1,21.3,15,11,7,4
852,Uttam Ngr (T),Ambedkar Stadium,"1. Ambedkar  Std.   2.  Ajmeri  Gate   3. P.S  Pahar Ganj  4. D.B  Gupta  Mkt.   5.R.S.Satsang  6.  W.Patel Nagar  7.. Moti
Ngr.  8. Raja Garden. Mukarji Park  10. Tilak Ngr.  11. Distt. Centre 12. Uttam Ngr (T)",11,21.4,10,17,10,7
860,Krishna Ngr,H-3 Vikas Puri,"1   Krishana Ngr 2   Jheel 3   Kishan Kunj 4   Rainy Well 5   Ito  6   Mandi House 7   Regal   8   Kend  ( T) 9   Ridge  Rd
10    Shanker  Rd    11    West  Patel  Ngr  12    Moti  Ngr  13    Raja  Garden  14    Mukherji  Park  15    Tilak  Ngr  16    Distt Centre 17   C‐Blk Vikaspuri 18   H‐3 Vikas Puri",0,32.5,15,17,10,7
874,Uttam Nagar Trml,Badar Pur Bdr,1   Uttam Ngr   (T)  2   C‐2b Janak Puri  3   Desu Cly4   Lajwanti Garden  5   Kirby Place  6   Signal Officer Flats  7   Rr Line  8   Dh   Kuan 9   Moti  Bagh  10   Narouji Ngr    11   A  I  I  M  S 12   Andrews Ganj  13   Sant Ngr    14   Kalkaji 15 D Block Okhla  Estate‐Ii  16   Hindustan Steel 17   C  W   Shop‐Ii  18   Parlad Pur  19   Badar Pur Bdr,6,40.7,12,27,16,11
876,Karampura (T),Dichaon Kalan,"1    Karampura  T    2    Raja  Garden  3    Mukherji  Park  4    Tilak  Ngr  5    Distt  Centre  6    Uttam  Ngr    7    Nawada  8
Kakrola Bridge 9   Nangli Sakrawati 10   Najaf Garh 11   Dhichow Kalan",1,15,15,8,5,3
882,Uttam Ngr (T),Holumbi Kalan JJ Cly,"1. Uttam Ngr (T) 2. C Block Vikaspuri 3. Maj. B Singh Ngr 4. Sunder Vihar 5. PG Depot 6. Mangolpur School 7. C
Block  Sarswati  Vihar  8.  Uttri  P  pura  9.  Haiderpur  W/W  10.  GTK  Bypass  11.  Badli  GT  Rd  12.  Nangli  13.  Pooan Budhpur 14. Alipur 15. Alipur Garhi 16. Minda Farm 17. Holumbi Kalan JJ Cly",0,28,15,15,9,6
883,I  S  B  T,Uttam Nagar(T),"1   Isbt 2   Old Sectt   3   Gtb Ngr 4   Model Town ‐Ii 5   Adrash Ngr 6   Gtk R Depot 7   Haider Pur W  Works 8   Uttari Pitam  Pura  9    Saraswati  Vihar  C‐Blk   10   Mangol  Pur  School  11    Peera  Garhi  Depot  12    Sunder  Vihar  13,  Mjr
Bhupender Singh Ngr 14   C‐ Blk Vikas Puri 15   Uttam Ngr",63,28.2,5,45,27,18
GL-32,Karamprua (T),NOIDA Sec-32 UPR,1. Karampura (T) 2. Shadipur Depot 3. WP Ng 4. Tele Exchange 5. SVV Marg 6. Mandi Marg 7. Shivaji Std 8. Mandi House  9. S Court 10. Pragati Maidan  11. Road  Bridge (E) 12.Pusta  Xing 13.  Mayur Vihar  Ph-1 Xing  14. Hindon Regulator 15. Nayabans 16. Tele Exchange 17. O Block Sec-12 18. NOIDA Sec-33 19. NOIDA Sec-34 UPR (T),13,33,10,26,16,10
869,N  D  Rly  Station,"Sant Garh(MajBhupi nder
SinghNagar)",1   N  D   Rly Station 2   P  S Phar Ganj 3   D  B   Gupta Marg 4   R  S   Satsang 5   West Patel Ngr 6   Moti Ngr 7   Raja Garden 8   Mukherji Park 9   Tilak Ngr 10   Distt Centre 11   C‐Blk Vikash Puri 12   Sant Garh (M  B   Sing Ngr ),3,21,15,11,7,4
857,Anand Vihar (ISBT),"F-
Blk.Raghubir Nagar","1. Anand Vihar Isbt 2. Hasan Pur Depot 3. Shakar Pur  4. Rainy Well 5. Ito Ring Rd. 6. Delhi Gate 7. Ajmeri Gate8.
P.S Pahar Ganj 9. D.B. Gupta Mkt. 10. R.S. Satsang.11. W. Patel Ngr 12. Moti Ngr. 13. Raja Garden 14. Guru Dwara Raghubir Ngr 15. F‐Blk Raghubir Ngr",0,28,15,15,9,6
960,Anand vihar Bus T,Syed Nangloi,1    Vivekanand  Bus  Trminus  2    Hasan  Pur  Depot  3    Shakar  Pur  4    Rainy  Well  5    Ito  Ring  Road  6    Delhi  Gate  7 Ajmeri Gate 8   P  S  Pahar Ganj 9   D  B  Gupta Mkt10   Sarai Rohilla 11   Zakhira 12   P  B  Terminal13   Madi Pur Jj Cly   14   Road No  29/30 Paschim Vihar15   Paschim Vihar W  Tank 16   Nangloi Syed ( Via Ring Road ),0,31.5,15,17,10,7
850,Najaf Garh,Kend Trml.,"1. Kend. Trml.  2. Uppar Ridge Rd.  3. Shankar Rd.4. R‐Block Rajender Ngr.  5. Toda Pur6. Inder Puri  7. Loha Mandi
8.  Naraina  Vihar9.  Mp  Depot   10.  Zink  Mkt.   11.  Desu  Cly.12.  Dabri  Vill.   13.  Dwaraka   2&  6  Xing   14.  Madhu Vihar15. Netaji Subash Institute  16. Kakroula Bridge17. Nangli Sakarawati  18. Najaf Garh",0,28.5,15,15,9,6
414,Nizamuddin Rly.St,Badarpur Border,"1. Nizamuddin Rly.Stn 2. Ashram 3. Lajpat Ngr 4. Mckr Hosp5. Sant Ngr 6. Kalkaj 7. D‐Blk.Ph‐Ii Okhla 8. Hindustan
Steel9. C/Workshop‐Ii 10. Prahlad Pur 11 Badar Pur Bdr.",1,19.4,15,10,6,4
588,J.L.N.Stadium,Tilak Nagar,"1. Jln Stadium 2. Lodhi Colony 3. S.J.Airport 4. S.J.Hos‐5. Nauroji Ngr 6. Moti Bagh  7. Dhaula Kuan 8. R.R. Line9.
Signal Officers Flats 10. Kibri Place 11. Lajwanti Garden12. Tilak Nagar",25,15.1,5,24,14,10
728,N. D. Rly Station,Najaf Garh,"1. N.D. Rly Gate No‐1  2. Sucheta Kriplani Hospital3. Panch Kunyan Rd 4. Rabinder Rang Sala 5. R. Blk Rajender Ngr
6. Budh  Janyanti Park 7. Dh. Kuan 8. R.R. Lines 9. Shastri Bazar 10. More Line 11. Prahlad Pur 12. Palam Cly 13. Palam Village 14. Sect 2/6 Xing,  15. N.H.W. Authority 16. S.P.G. Com Plex 17. R.S.S. Dwarka Sect‐19 , 18. Ambrahi Village 19. Goela Dairy20. Goela Village  21. Roshan Pura 22. Najaf Garh",0,42,15,22,13,9
865,H-3 Vikas Puri,Nehru Place(T),"1    H‐3  Vikash  Puri  2    C‐Blk  Vikash  Puri  3    A‐1  Janak  Puri  4    C‐2b  Janak  Puri  5    Desu  Cly  6    Lajwanti  Garden   7 Kirbi Place 8   Shastri Bazar 9   Rr Line 10   Dh Kuan  11   Moti Bagh ‐I, 12 R  K   Puram ‐I 13   Mohd Pur 14   Aiims 15
Andrrew Ganj 16   Sant Ngr 17 Nehru Place Terminal",2,32.1,15,17,10,7
740,Anand Vihar ISBT,Uttam Ngr(T),"1. Anand Vihar Bus T. 2. Hasan Pur (Ppg) 3. Balco Appt.4. Mother Dairy 5. Rainy Well 6. Ito ( Agcr) 7. Mandi House
8. Krishi Bhawan  9. Kend  Terminal  10. Talkatora Garden11.  Sadhu  Samaj  12. Dh.  Kuan  13. R.R. Lines  14. Shastri Bzr.15. Kirbi Place 16. Lajwanti Garden 17. Desu Cly 18. C‐2b Janak Puri 19. Uttam Ngr T.",30,35.5,5,57,34,23
761,Mangla Puri,Azadpur(T),"1. Mangla Puri 2. Dabri Village 3. C‐1 Janak Puri 4. Uttam Ngr  5. Distt Centre 6. Mjr B.S. Mngr  7.  Sunder Vihar 8.
Peera  Garhi 9. Mangol Pur School 10. C‐ Blk Saraswati Vihar 11. J.D. Blk Pitam Pura 12. W.P. Depot 13. Ashok Vihar Xing 14. Azad Pur Terminal",41,25,5,40,24,16
833,Karampura (T),Goela Dairy,"Karampura (T), Raja Garden, Mukherjee Park, Tilak Nagar, Distt Centre, Uttam Ngr (T), Nawada, Kakrola Bridge,
Nangli Sakroti, Najafgarh, Goela Vill, Goela Dairy",0,23.4,15,12,7,5
820,Shivaji Stadium,Subash Nagar,"1. Shivaji Std. 2. Kend Trml. 3. Upper Ridge Road 4. Shanker Rd. 5. West Patel Ngr. 6. Moti Ngr. 7. Raja Garden 8.
Mukherji Park 9. Subhash Nagar",0,16.8,15,9,5,4
841,I.S.B.T.,Khyalla Village,"1.  Isbt   2 . Ice Factory 3. Kishan Ganj Mkt.4. Daya Basti   5. Zakhira  6. Moti Ngr  7. Raja Garden 8. Mukarji Park  9.
Khyala  Vill.",1,12.5,15,7,4,3
967,Tikri Border,Tilak Nagar,1   Nilak Ngr 2   Distt Centre  3  Uttam Ngr  (T)4   Nawada  5   Kakroula Bridge  6   Nangli Sakrawati 7   Najaf Garh  8 Dichaon Kalan  9  Neelwal Xing 10   Hiran Kudna Vill    11   Hiran Kudna Xing12   Tikri Piao  13   Tikri Border,0,32,15,17,10,7
842,I.S.B.T.,"F-
Blk.Raghubir Nagar",1.  Isbt   2 . Ice Factory 3. G. G. S. Marg4. Dev Ngr  5. Radha Swami Satsang  6. West Patel Ngr. 7. Moti Ngr  8. Raja Garden  9.Raghubir Ngr Gurudwara 10. Raghubir Ngr F‐Blk.,1,19.1,15,10,6,4
972,Bawana,Uttam Nagar(T),"1   Bawana 2   Dhakawala 3   Pooth Khurd 4   Barwala 5   Prehlad Pur 6   Prehlad Vihar 7   Pooth Kalan 8   Mangol Pur  Khurd  9    Mangol  Pur  School10    Peera  Depot  11    Sunder  Vihar  12    Maj  Bhupinder  Singh  Ngr    13    Distt
Center14   Uttam Nagar Terminal",3,25.7,15,14,8,6
982,New Seema Puri,Sultan Puri,"1. New  Seema  Puri   2.Dilshad Gdn   3. Shahdra   4. Seelam  Pur   5. Shastri Park    6. Isbt7. Old Sectt   8. Gtb  Ngr   9. Model Town‐I  10. Adarsh Ngr,11. Gtk Depot  12. Hader Pur W.Tank   13. Uttri Pitam Pura14.C‐Blk.Saraswati Vihar
15. Mangol Pur School  16. Mangol Pur Khurd  17. Q‐Blk Mangol Puri   18. Sultan Puri,",32,35,5,56,34,22
RL‐76,Rly Stn,Janakpuri D Block,"Rly Stn, Red Fort, Delhi Gate, Mandi House, ND Rly Stn G-1, PS Paharganj, Dev Ngr, RS Satsang, WP Ngr, Moti Ngr, Raja Garden, Mokherji Park, Tilak Ngr, C-2B Janakpuri, DESU Cly, Janakpuri D Block",0,28,15,15,9,6
"852
Sttl",Karol Bagh (T),"Hari Nagar
Clock Tower","Karol  Bagh  (T),  DB  Gupta  Mkt,  RS  Sang,  WP  Ngr,  Moti  Ngr,  Raja  Garden,  Mukherji  Park,  Tilak  Ngr,  Hari
Nagar Clock Tower",0,14.7,15,8,5,3
823,Kauria Bridge,Uttam Nagar Tml,"1. Kauria Bridge  2. Mori Gate / Isbt 3. Ice Factory 4. Kishan Ganj Mkt.  5.Daya Basti   6. Zakhira7. Moti Ngr  8. Raja
Garden  9. Mukarji Park10. Tilak Ngr.  11. Distt. Centre  12.  Uttam Ngr (T)",13,15.4,10,12,7,5
856,Kamla Market,Subhash Nagar,"1. Kamala Mkt 2. P.S. Pahar Ganj.3. D.B. Gupta Mkt.4. R.S Satsang. 5. W. Patel Ngr. 6. Moti Ngr 7. Raja Garden8.
Mukherji Park 9. Subhash Ngr",0,16.6,15,9,5,4
,,,Total Buses,455,,,890,533,357
Cluster ‐ 9,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
11,Kalyan Vihar,Jama Masjid,1. Jama Masjid 2. O.D.Rly Station 3. Mori Gate 4. Ice Factory 5. Clock Tower 6. Rp Bagh 7. Kalyan Vihar,0,8.9,15,5,3,2
17,Old Delhi Rly.Stn.,Mohd.Ramzan Pur,"1. O.D.Rly.Station 2. Mori Gate/Isbt 3. Ice Factory 4. Clock Tower 5. Rp Bagh 6. Bara Bagh 7. Adarsh Ngr 8. Gt K Depot  9.  Badli  Xing  Gt  Road  10.  Nangli  Poonam  11.  Budh  Pur  12.  Alipur  13.  Jind  Pur  14.  Hiranki  15.  Mohd.  Pur
Ramjan Pur.",0,30.5,15,16,10,6
61,G.T.B.NGR.,"Jharoda
Village",1. Gtb Ngr 2. Nirankari Cly. 3. Jhoroda Village Xing 4. Jharoda Village Chowk.,0,9.8,15,5,3,2
100,Kend.Terminal,Adarsh Nagar,"1.  Kend  .(T)  2.  Regal  3.  Shivaji  Std.4.  Chitra  Gupta  Road  5.  Master  Prathvi  Nath  Marg  /Faiz  Rd.  6.  Ice  Factory  7.
Clock Tower 8. Maurice Ngr. 9. Gtb Ngr. 10. Model Town‐Ii 11. Adarsh Ngr.",12,15.1,10,12,7,5
102,Old Dly.Rly.Station,Rohini Sect-22 (Lakhi Ram Park),"1. O.D. Rly. Stn. 2. Mori Gate /Isbt 3. Ice Factory 4. Clock Tower 5. Rp Bagh 6. Bara Bagh 7. Ashok Vihar Xing 8. W.P. Depot‐I 9. Jd‐Blk Pitam Pura 10. Rohini Sec‐7,8,9,Xing 11. Rohini Sec‐Vi (T) 12. Nala (Gas Plant) 13. Sec‐25 (Azad Chowk Main Rd ) 14. Rohini Sec‐23 15. Rohini Sec‐20 Jj Cly. 16. Rohini Sc‐22(Lakhi Ram Park )",0,29,15,15,9,6
103,Fateh Puri,Narela,"1. Fateh Puri 2. Isbt/ Mori Gate 3. Old Sectt 4. Gtb Ngr 5. Mofel Town ‐Ii 6. Adarsh Ngr 7. Gtk Depot 8. Badli Xing Gt Rd 9. Nangli Poonam 10. Budh Pur 11. Alipur 12. Alipur Garhi 13. Arbindo Farm 14. Shahpur Garhi 15. Bhor Garh
16. Narela",11,31.3,10,25,15,10
104,Shivaji Stadium,Jharoda Village,"1.  Shivaji  Stadium  2.  Mandi  House  3.  Delhi  Gate  4.  Red  Fort  5.  Isbt  6.  Old  Sectt  7.  Gtb  Ngr  8.  Nirankari  Cly  9.
Jharoda Cly.",0,17.5,15,9,6,3
106,Fateh Puri,Qutab Garh Border,"1. Fateh Puri 2. Mori Gate/Isbt 3. Ice Factory 4. Clock Tower 5. Rp Bagh 6. Bara Bagh 7. Adarsh Ngr 8. Gtk Depot9. Haider Pur W/ Works 10. Esi Hospital 11. Rohinisec‐18 12. Shahbad Daulat Pur 13. Shahbad Dairy 14. Prehlad Pur
15. Barwala 16. Dpooth Khurd 17. Dhake Wala 18. Bawana 19. Dariya Pur 20. Auchandi Vill. 21. Auchandi Bdr. 22.
Mangesh Pur 23. Qutab Garh 24. Qutab Garh Bdr.",15,45.4,5,73,44,29
107,Fatehpuri / Azadpur,Katewara Village,"Fatehpuri, Mori Gate / ISBT, STA Office, Old Sectt, GTB Ngr, Model Town-2, Adarsh Ngr, GTK Depot, Rohini Sec-18, Shahbad Daulatpur, Shahbad Dairy, Perhladpur, Barwala, Poothpur, Dhakewala, Bawana, Dariyapur,
Bajitpur, Katewara Village",0,39.5,15,21,13,8
